{'track_id': '5332', 'skip_count': '6', 'skip_date': '2019-09-17T09:49:44Z', 'name': 'Jesus Walks', 'artist': 'Kanye West'}
{'track_id': '5526', 'play_count': '21', 'play_date_utc': '2019-09-17T09:52:35Z', 'name': 'Maybe She', 'artist': 'Still Woozy'}
{'track_id': '5560', 'skip_count': '3', 'skip_date': '2019-09-17T10:00:24Z', 'name': 'Institutionalized', 'artist': 'Kendrick Lamar ft. Bilal, Anna Wise &#38; Snoop Dogg'}
{'track_id': '5820', 'play_count': '2', 'play_date_utc': '2019-09-17T10:00:21Z', 'name': 'Norman fucking Rockwell', 'artist': 'Lana Del Rey'}
{'track_id': '4884', 'skip_count': '3', 'skip_date': '2019-09-17T10:01:24Z', 'name': 'Lord of the Game', 'artist': 'Death Grips'}
{'track_id': '5544', 'play_count': '8', 'play_date_utc': '2019-09-17T10:04:00Z', 'name': 'Good Ass Intro', 'artist': 'Chance the Rapper'}
{'track_id': '4606', 'skip_count': '8', 'skip_date': '2019-09-17T10:04:19Z', 'name': 'Habit', 'artist': 'Still Woozy'}
{'track_id': '4918', 'skip_count': '4', 'skip_date': '2019-09-17T10:05:05Z', 'name': 'Fergalicious', 'artist': 'Fergie ft. will.i.am'}
{'track_id': '5402', 'skip_count': '3', 'skip_date': '2019-09-17T10:40:52Z', 'name': "I'm Waiting for the Day", 'artist': 'The Beach Boys'}
{'track_id': '75346', 'play_count': '2', 'play_date_utc': '2019-09-17T10:40:43Z', 'name': 'When the Fires Come', 'artist': 'Kero Kero Bonito'}
{'track_id': '5308', 'skip_count': '4', 'skip_date': '2019-09-17T10:41:20Z', 'name': '8 Million Stories', 'artist': 'A Tribe Called Quest'}
{'track_id': '5524', 'play_count': '12', 'play_date_utc': '2019-09-17T10:44:21Z', 'name': 'Foolsong', 'artist': 'Still Woozy'}
{'track_id': '4604', 'play_count': '29', 'play_date_utc': '2019-09-17T10:46:44Z', 'name': 'Lucy', 'artist': 'Still Woozy ft. ODIE'}
{'track_id': '4602', 'play_count': '20', 'play_date_utc': '2019-09-17T10:49:35Z', 'name': 'Wolfcat', 'artist': 'Still Woozy'}
{'track_id': '4588', 'play_count': '30', 'play_date_utc': '2019-09-17T10:53:29Z', 'name': 'Vacation', 'artist': 'Still Woozy'}
{'track_id': '5526', 'play_count': '22', 'play_date_utc': '2019-09-17T10:56:18Z', 'name': 'Maybe She', 'artist': 'Still Woozy'}
{'track_id': '4592', 'play_count': '51', 'play_date_utc': '2019-09-17T10:59:12Z', 'name': 'Cooks', 'artist': 'Still Woozy'}
{'track_id': '5522', 'play_count': '29', 'play_date_utc': '2019-09-17T11:01:19Z', 'name': 'Ipanema', 'artist': 'Still Woozy ft. Omar Apollo &#38; Elujay'}
{'track_id': '4606', 'play_count': '34', 'play_date_utc': '2019-09-17T11:03:53Z', 'name': 'Habit', 'artist': 'Still Woozy'}
{'track_id': '4902', 'play_count': '31', 'play_date_utc': '2019-09-17T11:06:31Z', 'name': 'Lava', 'artist': 'Still Woozy'}
{'track_id': '4590', 'play_count': '94', 'play_date_utc': '2019-09-17T11:08:58Z', 'name': 'Goodie Bag', 'artist': 'Still Woozy'}
{'track_id': '5887', 'play_count': '9', 'play_date_utc': '2019-09-17T17:04:55Z', 'name': 'Jesus Forgive Me, I Am A Thot', 'artist': 'JPEGMAFIA'}
{'track_id': '4691', 'play_count': '6', 'play_date_utc': '2019-09-17T17:08:28Z', 'name': 'Deserted Dunes Welcome Weary Feet', 'artist': 'King Gizzard &#38; The Lizard Wizard'}
{'track_id': '5277', 'play_count': '2', 'play_date_utc': '2019-09-17T17:11:44Z', 'name': 'All Around The World or The Myth Of Fingerprints', 'artist': 'Paul Simon'}
{'track_id': '4319', 'play_count': '27', 'play_date_utc': '2019-09-17T17:16:13Z', 'name': 'Raconteur, Troubadour', 'artist': 'Gentle Giant'}
{'track_id': '5065', 'skip_count': '4', 'skip_date': '2019-09-17T18:53:52Z', 'name': 'Butter', 'artist': 'A Tribe Called Quest'}
{'track_id': '5337', 'play_count': '8', 'play_date_utc': '2019-09-17T18:53:37Z', 'name': 'Whateva Will Be', 'artist': 'A Tribe Called Quest'}
{'track_id': '5083', 'play_count': '81', 'play_date_utc': '2019-09-17T18:56:21Z', 'name': 'What?', 'artist': 'A Tribe Called Quest'}
{'track_id': '5703', 'play_count': '4', 'play_date_utc': '2019-09-17T19:00:34Z', 'name': 'Can I Kick It?', 'artist': 'A Tribe Called Quest'}
{'track_id': '5351', 'play_count': '7', 'play_date_utc': '2019-09-17T19:03:38Z', 'name': 'Black Spasmodic', 'artist': 'A Tribe Called Quest'}
{'track_id': '5701', 'play_count': '9', 'play_date_utc': '2019-09-18T06:39:47Z', 'name': 'Youthful Expression', 'artist': 'A Tribe Called Quest'}
{'track_id': '5333', 'play_count': '11', 'play_date_utc': '2019-09-18T06:42:39Z', 'name': 'We The People....', 'artist': 'A Tribe Called Quest'}
{'track_id': '5073', 'play_count': '31', 'play_date_utc': '2019-09-18T06:46:16Z', 'name': 'Check The Rhime', 'artist': 'A Tribe Called Quest'}
{'track_id': '2737', 'play_count': '84', 'play_date_utc': '2019-09-18T09:44:56Z', 'name': 'Mii Channel', 'artist': 'Kazumi Totaka'}
{'track_id': '4891', 'skip_count': '3', 'skip_date': '2019-09-18T09:45:01Z', 'name': 'Blood Creepin', 'artist': 'Death Grips'}
{'track_id': '5057', 'play_count': '19', 'play_date_utc': '2019-09-18T10:34:01Z', 'name': 'Excursions', 'artist': 'A Tribe Called Quest'}
{'track_id': '3327', 'skip_count': '6', 'skip_date': '2019-09-18T15:18:37Z', 'name': 'Cheerful Journey', 'artist': 'Yugo Kanno'}
{'track_id': '5683', 'play_count': '5', 'play_date_utc': '2019-09-18T15:18:21Z', 'name': 'Puff Daddy', 'artist': 'JPEGMAFIA &#38; Kenny Beats'}
{'track_id': '5333', 'play_count': '12', 'play_date_utc': '2019-09-18T16:48:40Z', 'name': 'We The People....', 'artist': 'A Tribe Called Quest'}
{'track_id': '3883', 'play_count': '6', 'play_date_utc': '2019-09-18T16:54:33Z', 'name': 'Scattered and Lost', 'artist': 'Lena Raine'}
{'track_id': '4605', 'skip_count': '11', 'skip_date': '2019-09-18T17:48:38Z', 'name': 'Robot Stop', 'artist': 'King Gizzard &#38; The Lizard Wizard'}
